n=26: 230230 subsets, initial violations 4029
  ..step 0: cur 3657 best 3657
  ..step 1048576: cur 1037 best 814
  ..step 2097152: cur 1072 best 813
  ..step 3145728: cur 885 best 809
  ..step 4194304: cur 1260 best 809
  ..step 5242880: cur 906 best 806
  ..step 6291456: cur 1014 best 802
  ..step 7340032: cur 866 best 802
  ..step 8388608: cur 1042 best 802
  ..step 9437184: cur 1208 best 802
  ..step 10485760: cur 894 best 802
  ..step 11534336: cur 2466 best 802
  ..step 12582912: cur 904 best 802
  ..step 13631488: cur 879 best 802
  ..step 14680064: cur 871 best 802
  ..step 15728640: cur 1258 best 802
  ..step 16777216: cur 897 best 802
  ..step 17825792: cur 864 best 802
  ..step 18874368: cur 1065 best 802
  ..step 19922944: cur 1016 best 802
  ..step 20971520: cur 882 best 802
  ..step 22020096: cur 1178 best 802
  ..step 23068672: cur 1090 best 802
  ..step 24117248: cur 1084 best 797
  ..step 25165824: cur 1080 best 797
  ..step 26214400: cur 870 best 797
  ..step 27262976: cur 874 best 797
  ..step 28311552: cur 919 best 797
  ..step 29360128: cur 1126 best 797
  ..step 30408704: cur 874 best 797
  ..step 31457280: cur 1161 best 797
  ..step 32505856: cur 1212 best 797
  ..step 33554432: cur 900 best 797
  ..step 34603008: cur 1187 best 797
  ..step 35651584: cur 1034 best 797
  ..step 36700160: cur 890 best 797
  ..step 37748736: cur 1240 best 797
  ..step 38797312: cur 980 best 797
  ..step 39845888: cur 1015 best 797
  ..step 40894464: cur 1817 best 797
  ..step 41943040: cur 896 best 797
  ..step 42991616: cur 938 best 797
  ..step 44040192: cur 890 best 797
  ..step 45088768: cur 1244 best 797
  ..step 46137344: cur 872 best 797
  ..step 47185920: cur 942 best 797
  ..step 48234496: cur 923 best 797
  ..step 49283072: cur 1064 best 797
  ..step 50331648: cur 883 best 797
  ..step 51380224: cur 1200 best 797
  ..step 52428800: cur 861 best 797
  ..step 53477376: cur 1063 best 797
  ..step 54525952: cur 1278 best 797
  ..step 55574528: cur 874 best 797
  ..step 56623104: cur 856 best 797
  ..step 57671680: cur 908 best 797
  ..step 58720256: cur 891 best 797
  ..step 59768832: cur 1015 best 797
  ..step 60817408: cur 1470 best 797
  ..step 61865984: cur 1201 best 797
  ..step 62914560: cur 920 best 797
  ..step 63963136: cur 915 best 797
  ..step 65011712: cur 869 best 797
  ..step 66060288: cur 909 best 797
  ..step 67108864: cur 1097 best 797
  ..step 68157440: cur 1289 best 797
  ..step 69206016: cur 1704 best 797
  ..step 70254592: cur 1375 best 797
  ..step 71303168: cur 980 best 797
  ..step 72351744: cur 908 best 797
  ..step 73400320: cur 894 best 797
  ..step 74448896: cur 1673 best 797
  ..step 75497472: cur 1044 best 797
  ..step 76546048: cur 872 best 797
  ..step 77594624: cur 1031 best 797
  ..step 78643200: cur 872 best 797
  ..step 79691776: cur 877 best 797
  ..step 80740352: cur 1008 best 797
  ..step 81788928: cur 989 best 797
  ..step 82837504: cur 916 best 797
  ..step 83886080: cur 866 best 797
  ..step 84934656: cur 1059 best 797
  ..step 85983232: cur 1004 best 797
  ..step 87031808: cur 880 best 797
  ..step 88080384: cur 996 best 797
  ..step 89128960: cur 884 best 797
  ..step 90177536: cur 981 best 797
  ..step 91226112: cur 942 best 797
  ..step 92274688: cur 875 best 797
  ..step 93323264: cur 876 best 797
  ..step 94371840: cur 909 best 797
  ..step 95420416: cur 887 best 797
  ..step 96468992: cur 892 best 797
  ..step 97517568: cur 872 best 797
  ..step 98566144: cur 1264 best 797
  ..step 99614720: cur 880 best 797
  ..step 100663296: cur 915 best 797
  ..step 101711872: cur 904 best 797
  ..step 102760448: cur 898 best 797
  ..step 103809024: cur 903 best 797
  ..step 104857600: cur 1505 best 797
  ..step 105906176: cur 1018 best 797
  ..step 106954752: cur 1621 best 797
  ..step 108003328: cur 1012 best 797
  ..step 109051904: cur 906 best 797
  ..step 110100480: cur 917 best 797
  ..step 111149056: cur 882 best 797
  ..step 112197632: cur 1302 best 797
  ..step 113246208: cur 1036 best 797
  ..step 114294784: cur 878 best 797
  ..step 115343360: cur 1871 best 797
  ..step 116391936: cur 884 best 797
  ..step 117440512: cur 941 best 797
  ..step 118489088: cur 1111 best 797
  ..step 119537664: cur 857 best 797
  ..step 120586240: cur 867 best 797
  ..step 121634816: cur 1089 best 797
  ..step 122683392: cur 1686 best 797
  ..step 123731968: cur 878 best 797
  ..step 124780544: cur 930 best 797
  ..step 125829120: cur 1121 best 797
  ..step 126877696: cur 906 best 797
  ..step 127926272: cur 2054 best 797
  ..step 128974848: cur 1016 best 797
  ..step 130023424: cur 891 best 797
  ..step 131072000: cur 1358 best 797
  ..step 132120576: cur 1064 best 797
  ..step 133169152: cur 882 best 797
  ..step 134217728: cur 1518 best 797
  ..step 135266304: cur 1154 best 797
  ..step 136314880: cur 878 best 797
  ..step 137363456: cur 874 best 797
  ..step 138412032: cur 1132 best 797
  ..step 139460608: cur 1362 best 797
  ..step 140509184: cur 903 best 797
  ..step 141557760: cur 1040 best 797
  ..step 142606336: cur 1105 best 797
  ..step 143654912: cur 893 best 797
  ..step 144703488: cur 952 best 797
  ..step 145752064: cur 893 best 797
  ..step 146800640: cur 905 best 797
  ..step 147849216: cur 1017 best 797
  ..step 148897792: cur 879 best 797
  ..step 149946368: cur 1081 best 797
  ..step 150994944: cur 1241 best 797
  ..step 152043520: cur 857 best 797
  ..step 153092096: cur 908 best 797
  ..step 154140672: cur 878 best 797
  ..step 155189248: cur 1164 best 797
  ..step 156237824: cur 1098 best 797
  ..step 157286400: cur 1007 best 797
  ..step 158334976: cur 938 best 797
  ..step 159383552: cur 1181 best 797
  ..step 160432128: cur 925 best 797
  ..step 161480704: cur 875 best 797
  ..step 162529280: cur 1070 best 797
  ..step 163577856: cur 888 best 797
  ..step 164626432: cur 893 best 797
  ..step 165675008: cur 1056 best 797
  ..step 166723584: cur 878 best 797
  ..step 167772160: cur 890 best 797
  ..step 168820736: cur 874 best 797
  ..step 169869312: cur 946 best 797
  ..step 170917888: cur 902 best 797
  ..step 171966464: cur 1254 best 797
  ..step 173015040: cur 892 best 797
  ..step 174063616: cur 920 best 797
  ..step 175112192: cur 908 best 797
  ..step 176160768: cur 864 best 797
  ..step 177209344: cur 955 best 797
  ..step 178257920: cur 880 best 797
  ..step 179306496: cur 919 best 797
  ..step 180355072: cur 917 best 797
  ..step 181403648: cur 1491 best 797
  ..step 182452224: cur 1792 best 797
  ..step 183500800: cur 1024 best 797
  ..step 184549376: cur 1551 best 797
  ..step 185597952: cur 886 best 797
  ..step 186646528: cur 1117 best 797
  ..step 187695104: cur 1240 best 797
  ..step 188743680: cur 1229 best 797
  ..step 189792256: cur 920 best 797
  ..step 190840832: cur 870 best 797
  ..step 191889408: cur 1328 best 797
  ..step 192937984: cur 918 best 797
  ..step 193986560: cur 1259 best 797
  ..step 195035136: cur 1487 best 797
  ..step 196083712: cur 899 best 797
  ..step 197132288: cur 1033 best 797
  ..step 198180864: cur 899 best 797
  ..step 199229440: cur 988 best 797
  ..step 200278016: cur 995 best 797
  ..step 201326592: cur 902 best 797
  ..step 202375168: cur 1212 best 797
  ..step 203423744: cur 1047 best 797
  ..step 204472320: cur 1132 best 797
  ..step 205520896: cur 1479 best 797
  ..step 206569472: cur 1057 best 797
  ..step 207618048: cur 1335 best 797
  ..step 208666624: cur 891 best 797
  ..step 209715200: cur 930 best 797
  ..step 210763776: cur 849 best 797
  ..step 211812352: cur 1099 best 797
  ..step 212860928: cur 993 best 797
  ..step 213909504: cur 1163 best 797
  ..step 214958080: cur 923 best 797
  ..step 216006656: cur 912 best 797
  ..step 217055232: cur 864 best 797
  ..step 218103808: cur 888 best 797
  ..step 219152384: cur 909 best 797
  ..step 220200960: cur 1162 best 797
  ..step 221249536: cur 1029 best 797
  ..step 222298112: cur 1198 best 797
  ..step 223346688: cur 1055 best 797
  ..step 224395264: cur 1433 best 797
  ..step 225443840: cur 1036 best 797
  ..step 226492416: cur 2076 best 797
  ..step 227540992: cur 886 best 797
  ..step 228589568: cur 901 best 797
  ..step 229638144: cur 898 best 797
  ..step 230686720: cur 1152 best 797
  ..step 231735296: cur 881 best 797
  ..step 232783872: cur 887 best 797
  ..step 233832448: cur 1048 best 797
  ..step 234881024: cur 1086 best 797
  ..step 235929600: cur 894 best 797
  ..step 236978176: cur 873 best 797
  ..step 238026752: cur 887 best 797
  ..step 239075328: cur 1004 best 797
  ..step 240123904: cur 1029 best 797
  ..step 241172480: cur 970 best 797
  ..step 242221056: cur 871 best 797
  ..step 243269632: cur 928 best 797
  ..step 244318208: cur 955 best 797
  ..step 245366784: cur 878 best 797
  ..step 246415360: cur 858 best 797
  ..step 247463936: cur 909 best 797
  ..step 248512512: cur 967 best 797
  ..step 249561088: cur 1097 best 797
  ..step 250609664: cur 1123 best 797
  ..step 251658240: cur 926 best 797
  ..step 252706816: cur 881 best 797
  ..step 253755392: cur 1262 best 797
  ..step 254803968: cur 879 best 797
  ..step 255852544: cur 946 best 797
  ..step 256901120: cur 976 best 797
  ..step 257949696: cur 1060 best 797
  ..step 258998272: cur 1158 best 797
  ..step 260046848: cur 894 best 797
  ..step 261095424: cur 1040 best 797
  ..step 262144000: cur 885 best 797
  ..step 263192576: cur 1249 best 797
  ..step 264241152: cur 1052 best 797
  ..step 265289728: cur 1059 best 797
  ..step 266338304: cur 1084 best 797
  ..step 267386880: cur 1115 best 797
  ..step 268435456: cur 866 best 797
  ..step 269484032: cur 891 best 797
  ..step 270532608: cur 1024 best 797
  ..step 271581184: cur 887 best 797
  ..step 272629760: cur 956 best 797
  ..step 273678336: cur 1067 best 797
  ..step 274726912: cur 1034 best 797
  ..step 275775488: cur 906 best 797
  ..step 276824064: cur 1146 best 797
  ..step 277872640: cur 869 best 797
  ..step 278921216: cur 930 best 797
  ..step 279969792: cur 1645 best 797
  ..step 281018368: cur 910 best 797
  ..step 282066944: cur 1272 best 797
  ..step 283115520: cur 943 best 797
  ..step 284164096: cur 888 best 797
  ..step 285212672: cur 928 best 797
  ..step 286261248: cur 921 best 797
  ..step 287309824: cur 993 best 797
  ..step 288358400: cur 880 best 797
  ..step 289406976: cur 956 best 797
  ..step 290455552: cur 899 best 797
  ..step 291504128: cur 878 best 797
  ..step 292552704: cur 1148 best 797
  ..step 293601280: cur 868 best 797
  ..step 294649856: cur 1223 best 797
  ..step 295698432: cur 1714 best 797
  ..step 296747008: cur 880 best 797
  ..step 297795584: cur 914 best 797
  ..step 298844160: cur 961 best 797
  ..step 299892736: cur 936 best 797
  ..step 300941312: cur 1080 best 797
  ..step 301989888: cur 902 best 797
  ..step 303038464: cur 883 best 797
  ..step 304087040: cur 852 best 797
  ..step 305135616: cur 1180 best 797
  ..step 306184192: cur 1110 best 797
  ..step 307232768: cur 986 best 797
  ..step 308281344: cur 971 best 797
  ..step 309329920: cur 1438 best 797
  ..step 310378496: cur 899 best 797
  ..step 311427072: cur 1085 best 797
  ..step 312475648: cur 876 best 797
  ..step 313524224: cur 1426 best 797
  ..step 314572800: cur 874 best 797
  ..step 315621376: cur 955 best 797
  ..step 316669952: cur 864 best 797
